table_id,feature_id,name,lat,long
638,4198,Saidpur,22.64729061,91.59501057
639,4227,Salimpur,22.39197923,91.76490858
640,4514,Sonaichhari,22.46976673,91.74510688
641,754,Bhatiari,22.42400573,91.76985475
643,2108,Hinguli,22.89964124,91.52627248
646,3559,Osmanpur,22.85464836,91.48380262
648,2617,Katachhara,22.81535923,91.50742224
649,1626,Durgapur,22.82523043,91.53885276
650,3198,Mirsharai,22.7788717,91.58151084
651,3219,Mithanala,22.78055635,91.5235814
652,2993,Maghadia,22.76647323,91.54471163
653,2682,Khaiyachhara,22.74788769,91.58275286
654,3168,Mayani,22.72960731,91.54846762
655,2001,Haitkandi,22.69955496,91.5854542
656,4860,Wahedpur,22.71095199,91.60912688
657,4193,Saherkhali,22.70803329,91.52848716
658,195,Asia,22.26184678,91.94373285
659,2371,Kachuai,22.26910563,92.05016129
660,2613,Kasiais,22.26495758,91.91543865
661,2859,Kusumpura,22.3042829,91.90555019
662,2654,Kelishahar,22.33306457,92.01320717
663,2780,Kolagaon,22.32345547,91.88702202
664,2710,Kharana,22.25016574,92.0034871
665,1115,Char Patharghata,22.31251304,91.83519838
666,1093,Char Lakshya,22.29388737,91.83743943
667,1019,Chanhara,22.25990502,91.97117642
668,2258,Janglukhain,22.30922083,91.94559237
669,2306,Jiri,22.28061115,91.8910783
670,2347,Juldha,22.2845666,91.81488133
672,1454,Dhalghat,22.33966891,91.96109626
673,509,Bara Uthan,22.26272719,91.85929823
674,549,Baralia,22.29036432,91.93660541
675,755,Bhatikhain,22.28030165,91.96899979
676,4461,Sikalbaha,22.29662586,91.85757858
677,4501,Sobhandandi,22.23646018,91.98581125
679,1997,Haidgaon,22.30810988,92.04999032
680,3941,Rahmatpur,22.48763703,91.44400984
681,2067,Harispur,22.52477302,91.42348565
682,2444,Kalapania,22.54254359,91.43932564
683,101,Amanullah,22.55862027,91.45221033
684,4251,Santoshpur,22.57549958,91.46873083
685,1741,Gachhua,22.55212332,91.4787001
686,621,Bauria,22.53028443,91.48004668
687,2037,Haramia,22.50883553,91.49097408
688,2992,Magdhara,22.44933613,91.53271216
689,3052,Maitbhanga,22.44502811,91.48480071
690,4280,Sarikait,22.42168005,91.48948356
691,3320,Musapur,22.47190335,91.47865945
